SeniorCitizenRelevel,Partner,Dependents,tenure,InternetService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,Churn,AdditionalInternetServicesCount,StreamingServicesCount,MC_x_Additional,MC_x_Streaming
No,Yes,Yes,61,No,Month-to-month,Yes,Mailed check,19.4,Yes,0,0,0.0,0.0
No,No,No,12,DSL,Month-to-month,Yes,Bank transfer (automatic),45.4,Yes,0,0,0.0,0.0
No,No,No,60,Fiber optic,Month-to-month,Yes,Electronic check,105.9,Yes,2,2,211.8,211.8
No,No,No,1,Fiber optic,Month-to-month,No,Mailed check,69.55,Yes,0,0,0.0,0.0
No,Yes,Yes,28,Fiber optic,Month-to-month,Yes,Electronic check,81.05,Yes,0,1,0.0,81.05
No,Yes,Yes,4,Fiber optic,Month-to-month,No,Electronic check,101.15,Yes,1,2,101.15,202.3
No,No,No,7,Fiber optic,Month-to-month,Yes,Electronic check,99.8,Yes,1,2,99.8,199.6
No,Yes,Yes,13,DSL,Month-to-month,No,Electronic check,55.95,Yes,0,1,0.0,55.95
No,No,No,1,DSL,Month-to-month,Yes,Electronic check,55.0,Yes,0,1,0.0,55.0
No,Yes,Yes,1,Fiber optic,Month-to-month,Yes,Electronic check,74.7,Yes,1,0,74.7,0.0
No,No,No,24,Fiber optic,Month-to-month,Yes,Electronic check,80.25,Yes,1,0,80.25,0.0
No,No,No,5,Fiber optic,Month-to-month,Yes,Electronic check,96.1,Yes,1,2,96.1,192.2
No,No,Yes,15,Fiber optic,Month-to-month,No,Bank transfer (automatic),69.0,Yes,0,0,0.0,0.0
No,Yes,No,48,DSL,Month-to-month,Yes,Bank transfer (automatic),45.3,Yes,2,1,90.6,45.3
No,Yes,Yes,8,Fiber optic,Month-to-month,Yes,Electronic check,83.55,Yes,1,1,83.55,83.55
No,No,Yes,1,Fiber optic,Month-to-month,Yes,Electronic check,74.35,Yes,0,0,0.0,0.0
No,Yes,No,2,Fiber optic,Month-to-month,Yes,Electronic check,74.4,Yes,1,0,74.4,0.0
No,No,No,22,DSL,One year,Yes,Bank transfer (automatic),43.75,Yes,2,1,87.5,43.75
Yes,No,No,5,DSL,Month-to-month,No,Electronic check,28.45,Yes,1,0,28.45,0.0
No,No,No,12,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),99.7,Yes,3,1,299.1,99.7
Yes,No,No,20,Fiber optic,Month-to-month,Yes,Electronic check,94.1,Yes,2,1,188.2,94.1
No,Yes,No,2,Fiber optic,Month-to-month,Yes,Electronic check,94.2,Yes,1,2,94.2,188.4
No,Yes,Yes,6,Fiber optic,Month-to-month,Yes,Electronic check,80.5,Yes,1,0,80.5,0.0
Yes,Yes,No,5,Fiber optic,Month-to-month,Yes,Electronic check,74.35,Yes,0,0,0.0,0.0
No,No,No,40,Fiber optic,Month-to-month,No,Bank transfer (automatic),104.8,Yes,2,2,209.6,209.6
Yes,Yes,No,27,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),75.2,Yes,1,0,75.2,0.0
No,No,No,23,Fiber optic,Month-to-month,No,Bank transfer (automatic),75.6,Yes,0,0,0.0,0.0
No,Yes,No,34,Fiber optic,Month-to-month,Yes,Electronic check,100.05,Yes,1,2,100.05,200.1
No,No,No,1,Fiber optic,Month-to-month,Yes,Electronic check,85.0,Yes,0,1,0.0,85.0
No,No,No,10,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),86.05,Yes,0,1,0.0,86.05
No,No,No,13,DSL,Month-to-month,Yes,Credit card (automatic),45.55,Yes,2,1,91.1,45.55
No,Yes,Yes,39,Fiber optic,Month-to-month,Yes,Mailed check,86.3,Yes,1,1,86.3,86.3
No,No,No,32,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),80.35,Yes,1,0,80.35,0.0
No,No,No,35,Fiber optic,Month-to-month,Yes,Electronic check,100.25,Yes,1,2,100.25,200.5
No,Yes,No,56,Fiber optic,One year,No,Credit card (automatic),100.3,Yes,1,2,100.3,200.6
No,Yes,Yes,12,No,Month-to-month,No,Mailed check,19.0,Yes,0,0,0.0,0.0
No,No,No,1,Fiber optic,Month-to-month,No,Mailed check,75.3,Yes,1,0,75.3,0.0
Yes,No,No,4,Fiber optic,Month-to-month,Yes,Electronic check,89.2,Yes,1,1,89.2,89.2
Yes,No,No,1,Fiber optic,Month-to-month,Yes,Electronic check,85.7,Yes,0,1,0.0,85.7
No,No,No,12,DSL,Month-to-month,Yes,Mailed check,61.65,Yes,3,0,184.95,0.0
Yes,Yes,No,65,Fiber optic,Month-to-month,No,Bank transfer (automatic),105.25,Yes,2,2,210.5,210.5
No,Yes,Yes,9,DSL,Month-to-month,Yes,Electronic check,29.95,Yes,1,0,29.95,0.0
No,Yes,Yes,9,DSL,Month-to-month,No,Mailed check,65.0,Yes,4,0,260.0,0.0
No,No,No,7,No,Month-to-month,No,Bank transfer (automatic),20.0,Yes,0,0,0.0,0.0
Yes,Yes,No,49,Fiber optic,Month-to-month,No,Credit card (automatic),90.05,Yes,1,1,90.05,90.05
Yes,Yes,Yes,43,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),110.75,Yes,3,2,332.25,221.5
No,Yes,Yes,65,Fiber optic,Month-to-month,Yes,Electronic check,105.5,Yes,2,2,211.0,211.0
Yes,Yes,Yes,56,Fiber optic,One year,Yes,Bank transfer (automatic),104.55,Yes,2,2,209.1,209.1
No,Yes,No,10,Fiber optic,Month-to-month,Yes,Electronic check,85.25,Yes,0,1,0.0,85.25
No,Yes,Yes,43,DSL,Month-to-month,No,Electronic check,56.15,Yes,0,1,0.0,56.15
No,No,No,1,Fiber optic,Month-to-month,Yes,Electronic check,89.55,Yes,0,2,0.0,179.1
Yes,Yes,No,20,Fiber optic,Month-to-month,Yes,Electronic check,94.55,Yes,0,2,0.0,189.1
No,No,No,1,DSL,Month-to-month,Yes,Mailed check,45.7,Yes,0,0,0.0,0.0
Yes,No,No,2,Fiber optic,Month-to-month,No,Electronic check,89.5,Yes,1,1,89.5,89.5
No,No,No,3,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),69.55,Yes,0,0,0.0,0.0
No,No,No,1,Fiber optic,Month-to-month,Yes,Mailed check,74.6,Yes,1,0,74.6,0.0
Yes,No,No,8,No,Month-to-month,No,Electronic check,19.65,Yes,0,0,0.0,0.0
No,Yes,Yes,2,No,One year,No,Mailed check,19.85,Yes,0,0,0.0,0.0
No,No,No,4,DSL,Month-to-month,Yes,Mailed check,24.25,Yes,0,0,0.0,0.0
No,No,No,2,Fiber optic,Month-to-month,No,Electronic check,69.65,Yes,0,0,0.0,0.0
No,No,No,4,DSL,Month-to-month,No,Mailed check,45.65,Yes,0,0,0.0,0.0
No,No,No,1,Fiber optic,Month-to-month,Yes,Mailed check,75.05,Yes,0,0,0.0,0.0
Yes,No,No,52,DSL,Month-to-month,Yes,Electronic check,49.15,Yes,1,2,49.15,98.3
No,No,No,2,DSL,Month-to-month,Yes,Electronic check,34.7,Yes,0,1,0.0,34.7
No,Yes,Yes,1,Fiber optic,Month-to-month,No,Electronic check,80.0,Yes,0,1,0.0,80.0
Yes,No,No,2,DSL,Month-to-month,Yes,Electronic check,49.25,Yes,1,0,49.25,0.0
No,No,No,3,Fiber optic,Month-to-month,Yes,Credit card (automatic),75.1,Yes,0,0,0.0,0.0
No,Yes,Yes,3,DSL,Month-to-month,Yes,Electronic check,50.15,Yes,1,0,50.15,0.0
No,No,No,25,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),79.85,Yes,2,0,159.7,0.0
No,No,No,1,No,Month-to-month,No,Mailed check,19.55,Yes,0,0,0.0,0.0
No,Yes,Yes,4,Fiber optic,Month-to-month,Yes,Electronic check,85.95,Yes,0,1,0.0,85.95
No,No,No,3,DSL,Month-to-month,Yes,Electronic check,45.35,Yes,0,0,0.0,0.0
Yes,Yes,No,33,Fiber optic,Month-to-month,Yes,Electronic check,94.5,Yes,0,2,0.0,189.0
Yes,No,No,30,Fiber optic,Month-to-month,No,Credit card (automatic),91.7,Yes,3,0,275.1,0.0
No,No,No,45,Fiber optic,Month-to-month,Yes,Electronic check,87.25,Yes,2,0,174.5,0.0
No,No,No,10,Fiber optic,Month-to-month,No,Electronic check,98.55,Yes,1,2,98.55,197.1
Yes,No,No,20,Fiber optic,Month-to-month,Yes,Electronic check,98.55,Yes,1,2,98.55,197.1
No,No,Yes,15,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),85.9,Yes,1,1,85.9,85.9
No,No,No,22,Fiber optic,Month-to-month,No,Electronic check,89.25,Yes,0,2,0.0,178.5
No,Yes,No,3,Fiber optic,Month-to-month,Yes,Electronic check,70.3,Yes,0,0,0.0,0.0
No,No,No,15,Fiber optic,Month-to-month,Yes,Electronic check,93.35,Yes,0,2,0.0,186.7
No,No,No,1,No,Month-to-month,No,Mailed check,19.9,Yes,0,0,0.0,0.0
No,Yes,No,5,Fiber optic,Month-to-month,Yes,Mailed check,88.9,Yes,2,1,177.8,88.9
No,Yes,No,33,Fiber optic,One year,Yes,Electronic check,95.8,Yes,1,2,95.8,191.6
No,No,No,2,Fiber optic,Month-to-month,Yes,Electronic check,82.0,Yes,1,0,82.0,0.0
No,No,No,2,DSL,Month-to-month,No,Electronic check,45.35,Yes,0,0,0.0,0.0
No,No,No,1,DSL,Month-to-month,Yes,Electronic check,52.2,Yes,1,0,52.2,0.0
Yes,No,No,46,Fiber optic,One year,Yes,Electronic check,110.0,Yes,3,2,330.0,220.0
No,No,No,62,Fiber optic,One year,Yes,Electronic check,96.75,Yes,1,2,96.75,193.5
No,No,No,10,Fiber optic,Month-to-month,Yes,Electronic check,98.5,Yes,1,2,98.5,197.0
No,No,No,6,Fiber optic,Month-to-month,Yes,Electronic check,85.35,Yes,1,1,85.35,85.35
No,Yes,No,40,Fiber optic,Month-to-month,Yes,Electronic check,101.3,Yes,1,2,101.3,202.6
No,No,No,1,Fiber optic,Month-to-month,Yes,Electronic check,69.55,Yes,0,0,0.0,0.0
No,No,No,58,Fiber optic,One year,Yes,Bank transfer (automatic),103.25,Yes,2,2,206.5,206.5
No,No,No,70,Fiber optic,Two year,Yes,Credit card (automatic),104.0,Yes,2,2,208.0,208.0
No,No,No,2,Fiber optic,Month-to-month,Yes,Mailed check,86.2,Yes,1,1,86.2,86.2
No,Yes,No,21,Fiber optic,Month-to-month,Yes,Electronic check,111.2,Yes,3,2,333.6,222.4
No,Yes,Yes,16,Fiber optic,Month-to-month,Yes,Credit card (automatic),89.45,Yes,2,1,178.9,89.45
Yes,Yes,No,7,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),95.6,Yes,0,2,0.0,191.2
No,Yes,Yes,60,Fiber optic,One year,No,Electronic check,90.95,Yes,2,1,181.9,90.95
No,Yes,No,50,Fiber optic,One year,No,Electronic check,108.55,Yes,3,2,325.65,217.1
Yes,No,No,4,Fiber optic,Month-to-month,Yes,Electronic check,78.85,Yes,0,1,0.0,78.85
No,No,No,1,DSL,Month-to-month,No,Mailed check,44.4,Yes,0,0,0.0,0.0
Yes,No,No,55,Fiber optic,One year,Yes,Electronic check,100.0,Yes,1,2,100.0,200.0
No,Yes,Yes,12,No,One year,No,Bank transfer (automatic),19.8,Yes,0,0,0.0,0.0
No,No,No,1,Fiber optic,Month-to-month,Yes,Electronic check,89.9,Yes,0,2,0.0,179.8
No,No,Yes,62,Fiber optic,One year,Yes,Electronic check,100.15,Yes,1,2,100.15,200.3
No,No,No,1,DSL,Month-to-month,No,Electronic check,50.8,Yes,1,0,50.8,0.0
Yes,Yes,No,20,Fiber optic,Month-to-month,Yes,Electronic check,73.65,Yes,1,0,73.65,0.0
No,No,No,3,Fiber optic,Month-to-month,Yes,Electronic check,95.1,Yes,1,2,95.1,190.2
No,No,No,22,Fiber optic,Month-to-month,Yes,Credit card (automatic),94.65,Yes,0,2,0.0,189.3
No,Yes,No,4,Fiber optic,Month-to-month,Yes,Mailed check,80.6,Yes,2,0,161.2,0.0
No,Yes,No,59,Fiber optic,One year,No,Electronic check,85.55,Yes,0,1,0.0,85.55
No,No,No,60,DSL,Month-to-month,Yes,Electronic check,50.8,Yes,1,2,50.8,101.6
No,No,No,15,Fiber optic,Month-to-month,No,Electronic check,105.1,Yes,3,2,315.29999999999995,210.2
No,No,No,10,Fiber optic,Month-to-month,Yes,Electronic check,110.1,Yes,4,2,440.4,220.2
No,No,No,6,Fiber optic,Month-to-month,No,Electronic check,83.9,Yes,1,1,83.9,83.9
No,Yes,Yes,63,Fiber optic,Month-to-month,Yes,Electronic check,100.55,Yes,3,1,301.65,100.55
No,Yes,Yes,50,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),103.85,Yes,2,2,207.7,207.7
No,No,No,1,DSL,Month-to-month,No,Electronic check,24.6,Yes,0,0,0.0,0.0
No,No,No,12,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),98.9,Yes,2,2,197.8,197.8
No,No,No,9,Fiber optic,Month-to-month,No,Credit card (automatic),98.3,Yes,1,2,98.3,196.6
No,No,No,17,Fiber optic,Month-to-month,No,Electronic check,93.85,Yes,1,2,93.85,187.7
Yes,No,No,9,Fiber optic,Month-to-month,Yes,Electronic check,100.5,Yes,1,2,100.5,201.0
Yes,No,No,10,Fiber optic,Month-to-month,Yes,Electronic check,72.85,Yes,1,0,72.85,0.0
Yes,Yes,No,1,Fiber optic,Month-to-month,Yes,Electronic check,73.55,Yes,0,0,0.0,0.0
Yes,No,No,3,Fiber optic,Month-to-month,Yes,Electronic check,79.4,Yes,1,0,79.4,0.0
No,No,No,13,Fiber optic,Month-to-month,Yes,Electronic check,81.15,Yes,2,0,162.3,0.0
Yes,No,No,4,Fiber optic,Month-to-month,Yes,Electronic check,84.6,Yes,0,1,0.0,84.6
No,No,No,6,Fiber optic,Month-to-month,Yes,Electronic check,79.05,Yes,1,0,79.05,0.0
No,No,No,3,Fiber optic,Month-to-month,No,Bank transfer (automatic),74.4,Yes,0,0,0.0,0.0
Yes,No,No,35,Fiber optic,Month-to-month,Yes,Electronic check,99.05,Yes,1,2,99.05,198.1
Yes,No,No,2,DSL,Month-to-month,No,Mailed check,44.95,Yes,0,0,0.0,0.0
No,Yes,No,1,DSL,Month-to-month,No,Credit card (automatic),44.7,Yes,0,0,0.0,0.0
No,No,No,1,DSL,Month-to-month,Yes,Mailed check,45.7,Yes,0,0,0.0,0.0
Yes,No,No,8,Fiber optic,Month-to-month,No,Credit card (automatic),100.3,Yes,2,2,200.6,200.6
No,No,No,7,No,Month-to-month,No,Electronic check,19.25,Yes,0,0,0.0,0.0
No,No,No,2,Fiber optic,Month-to-month,Yes,Electronic check,96.0,Yes,0,2,0.0,192.0
No,No,No,1,Fiber optic,Month-to-month,No,Electronic check,90.55,Yes,0,2,0.0,181.1
Yes,Yes,No,44,DSL,Month-to-month,Yes,Electronic check,30.35,Yes,1,0,30.35,0.0
No,No,No,71,Fiber optic,Two year,Yes,Electronic check,108.05,Yes,3,2,324.15,216.1
No,No,No,1,Fiber optic,Month-to-month,Yes,Electronic check,69.9,Yes,0,0,0.0,0.0
Yes,Yes,No,62,Fiber optic,One year,Yes,Electronic check,103.75,Yes,2,2,207.5,207.5
No,No,No,1,Fiber optic,Month-to-month,Yes,Electronic check,86.6,Yes,0,1,0.0,86.6
Yes,Yes,No,33,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),80.6,Yes,1,0,80.6,0.0
No,No,No,35,Fiber optic,Month-to-month,No,Credit card (automatic),85.3,Yes,2,0,170.6,0.0
No,No,No,34,Fiber optic,Month-to-month,Yes,Credit card (automatic),70.0,Yes,0,0,0.0,0.0
Yes,No,No,4,Fiber optic,Month-to-month,Yes,Electronic check,94.3,Yes,0,2,0.0,188.6
No,No,No,7,Fiber optic,Month-to-month,Yes,Electronic check,95.35,Yes,1,2,95.35,190.7
Yes,Yes,No,27,Fiber optic,Month-to-month,Yes,Electronic check,75.5,Yes,0,0,0.0,0.0
No,No,No,18,Fiber optic,Month-to-month,Yes,Electronic check,90.1,Yes,1,1,90.1,90.1
No,No,No,2,Fiber optic,Month-to-month,No,Electronic check,68.95,Yes,0,0,0.0,0.0
