AdditionalInternetServicesCount,Churn,Contract,Dependents,InternetService,MC_x_Additional,MC_x_Streaming,MonthlyCharges,PaperlessBilling,Partner,PaymentMethod_bin_3,SeniorCitizenRelevel,StreamingServicesCount,tenure
0.0,Yes,Month-to-month,No,DSL,0.0,55.0,55.0,Yes,No,Electronic check,No,1.0,1
1.0,Yes,Month-to-month,Yes,Fiber optic,74.7,0.0,74.7,Yes,Yes,Electronic check,No,0.0,1
1.0,Yes,Month-to-month,No,Fiber optic,80.25,0.0,80.25,Yes,No,Electronic check,No,0.0,24
1.0,Yes,Month-to-month,No,Fiber optic,96.1,192.2,96.1,Yes,No,Electronic check,No,2.0,5
0.0,Yes,Month-to-month,Yes,Fiber optic,0.0,0.0,69.0,No,No,Automatic,No,0.0,15
2.0,Yes,Month-to-month,No,DSL,90.6,45.3,45.3,Yes,Yes,Automatic,No,1.0,48
1.0,Yes,Month-to-month,Yes,Fiber optic,83.55,83.55,83.55,Yes,Yes,Electronic check,No,1.0,8
0.0,Yes,Month-to-month,Yes,Fiber optic,0.0,0.0,74.35,Yes,No,Electronic check,No,0.0,1
1.0,Yes,Month-to-month,No,Fiber optic,74.4,0.0,74.4,Yes,Yes,Electronic check,No,0.0,2
2.0,Yes,One year,No,DSL,87.5,43.75,43.75,Yes,No,Automatic,No,1.0,22
1.0,Yes,Month-to-month,No,DSL,28.45,0.0,28.45,No,No,Electronic check,Yes,0.0,5
3.0,Yes,Month-to-month,No,Fiber optic,299.1,99.7,99.7,Yes,No,Automatic,No,1.0,12
2.0,Yes,Month-to-month,No,Fiber optic,188.2,94.1,94.1,Yes,No,Electronic check,Yes,1.0,20
1.0,Yes,Month-to-month,No,Fiber optic,94.2,188.4,94.2,Yes,Yes,Electronic check,No,2.0,2
1.0,Yes,Month-to-month,Yes,Fiber optic,80.5,0.0,80.5,Yes,Yes,Electronic check,No,0.0,6
0.0,Yes,Month-to-month,No,Fiber optic,0.0,0.0,74.35,Yes,Yes,Electronic check,Yes,0.0,5
2.0,Yes,Month-to-month,No,Fiber optic,209.6,209.6,104.8,No,No,Automatic,No,2.0,40
1.0,Yes,Month-to-month,No,Fiber optic,75.2,0.0,75.2,Yes,Yes,Automatic,Yes,0.0,27
0.0,Yes,Month-to-month,No,Fiber optic,0.0,0.0,75.6,No,No,Automatic,No,0.0,23
1.0,Yes,Month-to-month,No,Fiber optic,100.05,200.1,100.05,Yes,Yes,Electronic check,No,2.0,34
0.0,Yes,Month-to-month,No,Fiber optic,0.0,85.0,85.0,Yes,No,Electronic check,No,1.0,1
0.0,Yes,Month-to-month,No,Fiber optic,0.0,86.05,86.05,Yes,No,Automatic,No,1.0,10
2.0,Yes,Month-to-month,No,DSL,91.1,45.55,45.55,Yes,No,Automatic,No,1.0,13
1.0,Yes,Month-to-month,Yes,Fiber optic,86.3,86.3,86.3,Yes,Yes,Mailed check,No,1.0,39
1.0,Yes,Month-to-month,No,Fiber optic,80.35,0.0,80.35,Yes,No,Automatic,No,0.0,32
1.0,Yes,Month-to-month,No,Fiber optic,100.25,200.5,100.25,Yes,No,Electronic check,No,2.0,35
1.0,Yes,One year,No,Fiber optic,100.3,200.6,100.3,No,Yes,Automatic,No,2.0,56
0.0,Yes,Month-to-month,Yes,No,0.0,0.0,19.0,No,Yes,Mailed check,No,0.0,12
1.0,Yes,Month-to-month,No,Fiber optic,75.3,0.0,75.3,No,No,Mailed check,No,0.0,1
1.0,Yes,Month-to-month,No,Fiber optic,89.2,89.2,89.2,Yes,No,Electronic check,Yes,1.0,4
0.0,Yes,Month-to-month,No,Fiber optic,0.0,85.7,85.7,Yes,No,Electronic check,Yes,1.0,1
3.0,Yes,Month-to-month,No,DSL,184.95,0.0,61.65,Yes,No,Mailed check,No,0.0,12
2.0,Yes,Month-to-month,No,Fiber optic,210.5,210.5,105.25,No,Yes,Automatic,Yes,2.0,65
1.0,Yes,Month-to-month,Yes,DSL,29.95,0.0,29.95,Yes,Yes,Electronic check,No,0.0,9
4.0,Yes,Month-to-month,Yes,DSL,260.0,0.0,65.0,No,Yes,Mailed check,No,0.0,9
0.0,Yes,Month-to-month,No,No,0.0,0.0,20.0,No,No,Automatic,No,0.0,7
1.0,Yes,Month-to-month,No,Fiber optic,90.05,90.05,90.05,No,Yes,Automatic,Yes,1.0,49
3.0,Yes,Month-to-month,Yes,Fiber optic,332.25,221.5,110.75,Yes,Yes,Automatic,Yes,2.0,43
2.0,Yes,Month-to-month,Yes,Fiber optic,211.0,211.0,105.5,Yes,Yes,Electronic check,No,2.0,65
2.0,Yes,One year,Yes,Fiber optic,209.1,209.1,104.55,Yes,Yes,Automatic,Yes,2.0,56
0.0,Yes,Month-to-month,No,Fiber optic,0.0,85.25,85.25,Yes,Yes,Electronic check,No,1.0,10
0.0,Yes,Month-to-month,Yes,DSL,0.0,56.15,56.15,No,Yes,Electronic check,No,1.0,43
0.0,Yes,Month-to-month,No,Fiber optic,0.0,179.1,89.55,Yes,No,Electronic check,No,2.0,1
0.0,Yes,Month-to-month,No,Fiber optic,0.0,189.1,94.55,Yes,Yes,Electronic check,Yes,2.0,20
0.0,Yes,Month-to-month,No,DSL,0.0,0.0,45.7,Yes,No,Mailed check,No,0.0,1
1.0,Yes,Month-to-month,No,Fiber optic,89.5,89.5,89.5,No,No,Electronic check,Yes,1.0,2
0.0,Yes,Month-to-month,No,Fiber optic,0.0,0.0,69.55,Yes,No,Automatic,No,0.0,3
1.0,Yes,Month-to-month,No,Fiber optic,74.6,0.0,74.6,Yes,No,Mailed check,No,0.0,1
0.0,Yes,Month-to-month,No,No,0.0,0.0,19.65,No,No,Electronic check,Yes,0.0,8
0.0,Yes,One year,Yes,No,0.0,0.0,19.85,No,Yes,Mailed check,No,0.0,2
0.0,Yes,Month-to-month,No,DSL,0.0,0.0,24.25,Yes,No,Mailed check,No,0.0,4
0.0,Yes,Month-to-month,No,Fiber optic,0.0,0.0,69.65,No,No,Electronic check,No,0.0,2
0.0,Yes,Month-to-month,No,DSL,0.0,0.0,45.65,No,No,Mailed check,No,0.0,4
0.0,Yes,Month-to-month,No,Fiber optic,0.0,0.0,75.05,Yes,No,Mailed check,No,0.0,1
1.0,Yes,Month-to-month,No,DSL,49.15,98.3,49.15,Yes,No,Electronic check,Yes,2.0,52
0.0,Yes,Month-to-month,No,DSL,0.0,34.7,34.7,Yes,No,Electronic check,No,1.0,2
0.0,Yes,Month-to-month,Yes,Fiber optic,0.0,80.0,80.0,No,Yes,Electronic check,No,1.0,1
1.0,Yes,Month-to-month,No,DSL,49.25,0.0,49.25,Yes,No,Electronic check,Yes,0.0,2
0.0,Yes,Month-to-month,No,Fiber optic,0.0,0.0,75.1,Yes,No,Automatic,No,0.0,3
1.0,Yes,Month-to-month,Yes,DSL,50.15,0.0,50.15,Yes,Yes,Electronic check,No,0.0,3
2.0,Yes,Month-to-month,No,Fiber optic,159.7,0.0,79.85,Yes,No,Automatic,No,0.0,25
0.0,Yes,Month-to-month,No,No,0.0,0.0,19.55,No,No,Mailed check,No,0.0,1
0.0,Yes,Month-to-month,Yes,Fiber optic,0.0,85.95,85.95,Yes,Yes,Electronic check,No,1.0,4
0.0,Yes,Month-to-month,No,DSL,0.0,0.0,45.35,Yes,No,Electronic check,No,0.0,3
0.0,Yes,Month-to-month,No,Fiber optic,0.0,189.0,94.5,Yes,Yes,Electronic check,Yes,2.0,33
3.0,Yes,Month-to-month,No,Fiber optic,275.1,0.0,91.7,No,No,Automatic,Yes,0.0,30
2.0,Yes,Month-to-month,No,Fiber optic,174.5,0.0,87.25,Yes,No,Electronic check,No,0.0,45
1.0,Yes,Month-to-month,No,Fiber optic,98.55,197.1,98.55,No,No,Electronic check,No,2.0,10
1.0,Yes,Month-to-month,No,Fiber optic,98.55,197.1,98.55,Yes,No,Electronic check,Yes,2.0,20
1.0,Yes,Month-to-month,Yes,Fiber optic,85.9,85.9,85.9,Yes,No,Automatic,No,1.0,15
0.0,Yes,Month-to-month,No,Fiber optic,0.0,178.5,89.25,No,No,Electronic check,No,2.0,22
0.0,Yes,Month-to-month,No,Fiber optic,0.0,0.0,70.3,Yes,Yes,Electronic check,No,0.0,3
0.0,Yes,Month-to-month,No,Fiber optic,0.0,186.7,93.35,Yes,No,Electronic check,No,2.0,15
0.0,Yes,Month-to-month,No,No,0.0,0.0,19.9,No,No,Mailed check,No,0.0,1
2.0,Yes,Month-to-month,No,Fiber optic,177.8,88.9,88.9,Yes,Yes,Mailed check,No,1.0,5
1.0,Yes,One year,No,Fiber optic,95.8,191.6,95.8,Yes,Yes,Electronic check,No,2.0,33
1.0,Yes,Month-to-month,No,Fiber optic,82.0,0.0,82.0,Yes,No,Electronic check,No,0.0,2
0.0,Yes,Month-to-month,No,DSL,0.0,0.0,45.35,No,No,Electronic check,No,0.0,2
1.0,Yes,Month-to-month,No,DSL,52.2,0.0,52.2,Yes,No,Electronic check,No,0.0,1
3.0,Yes,One year,No,Fiber optic,330.0,220.0,110.0,Yes,No,Electronic check,Yes,2.0,46
1.0,Yes,One year,No,Fiber optic,96.75,193.5,96.75,Yes,No,Electronic check,No,2.0,62
1.0,Yes,Month-to-month,No,Fiber optic,98.5,197.0,98.5,Yes,No,Electronic check,No,2.0,10
1.0,Yes,Month-to-month,No,Fiber optic,85.35,85.35,85.35,Yes,No,Electronic check,No,1.0,6
1.0,Yes,Month-to-month,No,Fiber optic,101.3,202.6,101.3,Yes,Yes,Electronic check,No,2.0,40
0.0,Yes,Month-to-month,No,Fiber optic,0.0,0.0,69.55,Yes,No,Electronic check,No,0.0,1
2.0,Yes,One year,No,Fiber optic,206.5,206.5,103.25,Yes,No,Automatic,No,2.0,58
2.0,Yes,Two year,No,Fiber optic,208.0,208.0,104.0,Yes,No,Automatic,No,2.0,70
1.0,Yes,Month-to-month,No,Fiber optic,86.2,86.2,86.2,Yes,No,Mailed check,No,1.0,2
3.0,Yes,Month-to-month,No,Fiber optic,333.6,222.4,111.2,Yes,Yes,Electronic check,No,2.0,21
2.0,Yes,Month-to-month,Yes,Fiber optic,178.9,89.45,89.45,Yes,Yes,Automatic,No,1.0,16
0.0,Yes,Month-to-month,No,Fiber optic,0.0,191.2,95.6,Yes,Yes,Automatic,Yes,2.0,7
2.0,Yes,One year,Yes,Fiber optic,181.9,90.95,90.95,No,Yes,Electronic check,No,1.0,60
3.0,Yes,One year,No,Fiber optic,325.65,217.1,108.55,No,Yes,Electronic check,No,2.0,50
0.0,Yes,Month-to-month,No,Fiber optic,0.0,78.85,78.85,Yes,No,Electronic check,Yes,1.0,4
0.0,Yes,Month-to-month,No,DSL,0.0,0.0,44.4,No,No,Mailed check,No,0.0,1
1.0,Yes,One year,No,Fiber optic,100.0,200.0,100.0,Yes,No,Electronic check,Yes,2.0,55
0.0,Yes,One year,Yes,No,0.0,0.0,19.8,No,Yes,Automatic,No,0.0,12
0.0,Yes,Month-to-month,No,Fiber optic,0.0,179.8,89.9,Yes,No,Electronic check,No,2.0,1
1.0,Yes,One year,Yes,Fiber optic,100.15,200.3,100.15,Yes,No,Electronic check,No,2.0,62
1.0,Yes,Month-to-month,No,DSL,50.8,0.0,50.8,No,No,Electronic check,No,0.0,1
1.0,Yes,Month-to-month,No,Fiber optic,73.65,0.0,73.65,Yes,Yes,Electronic check,Yes,0.0,20
1.0,Yes,Month-to-month,No,Fiber optic,95.1,190.2,95.1,Yes,No,Electronic check,No,2.0,3
0.0,Yes,Month-to-month,No,Fiber optic,0.0,189.3,94.65,Yes,No,Automatic,No,2.0,22
2.0,Yes,Month-to-month,No,Fiber optic,161.2,0.0,80.6,Yes,Yes,Mailed check,No,0.0,4
0.0,Yes,One year,No,Fiber optic,0.0,85.55,85.55,No,Yes,Electronic check,No,1.0,59
1.0,Yes,Month-to-month,No,DSL,50.8,101.6,50.8,Yes,No,Electronic check,No,2.0,60
3.0,Yes,Month-to-month,No,Fiber optic,315.29999999999995,210.2,105.1,No,No,Electronic check,No,2.0,15
4.0,Yes,Month-to-month,No,Fiber optic,440.4,220.2,110.1,Yes,No,Electronic check,No,2.0,10
1.0,Yes,Month-to-month,No,Fiber optic,83.9,83.9,83.9,No,No,Electronic check,No,1.0,6
3.0,Yes,Month-to-month,Yes,Fiber optic,301.65,100.55,100.55,Yes,Yes,Electronic check,No,1.0,63
2.0,Yes,Month-to-month,Yes,Fiber optic,207.7,207.7,103.85,Yes,Yes,Automatic,No,2.0,50
0.0,Yes,Month-to-month,No,DSL,0.0,0.0,24.6,No,No,Electronic check,No,0.0,1
2.0,Yes,Month-to-month,No,Fiber optic,197.8,197.8,98.9,Yes,No,Automatic,No,2.0,12
1.0,Yes,Month-to-month,No,Fiber optic,98.3,196.6,98.3,No,No,Automatic,No,2.0,9
1.0,Yes,Month-to-month,No,Fiber optic,93.85,187.7,93.85,No,No,Electronic check,No,2.0,17
1.0,Yes,Month-to-month,No,Fiber optic,100.5,201.0,100.5,Yes,No,Electronic check,Yes,2.0,9
1.0,Yes,Month-to-month,No,Fiber optic,72.85,0.0,72.85,Yes,No,Electronic check,Yes,0.0,10
0.0,Yes,Month-to-month,No,Fiber optic,0.0,0.0,73.55,Yes,Yes,Electronic check,Yes,0.0,1
1.0,Yes,Month-to-month,No,Fiber optic,79.4,0.0,79.4,Yes,No,Electronic check,Yes,0.0,3
2.0,Yes,Month-to-month,No,Fiber optic,162.3,0.0,81.15,Yes,No,Electronic check,No,0.0,13
0.0,Yes,Month-to-month,No,Fiber optic,0.0,84.6,84.6,Yes,No,Electronic check,Yes,1.0,4
1.0,Yes,Month-to-month,No,Fiber optic,79.05,0.0,79.05,Yes,No,Electronic check,No,0.0,6
0.0,Yes,Month-to-month,No,Fiber optic,0.0,0.0,74.4,No,No,Automatic,No,0.0,3
1.0,Yes,Month-to-month,No,Fiber optic,99.05,198.1,99.05,Yes,No,Electronic check,Yes,2.0,35
0.0,Yes,Month-to-month,No,DSL,0.0,0.0,44.95,No,No,Mailed check,Yes,0.0,2
0.0,Yes,Month-to-month,No,DSL,0.0,0.0,44.7,No,Yes,Automatic,No,0.0,1
0.0,Yes,Month-to-month,No,DSL,0.0,0.0,45.7,Yes,No,Mailed check,No,0.0,1
2.0,Yes,Month-to-month,No,Fiber optic,200.6,200.6,100.3,No,No,Automatic,Yes,2.0,8
0.0,Yes,Month-to-month,No,No,0.0,0.0,19.25,No,No,Electronic check,No,0.0,7
0.0,Yes,Month-to-month,No,Fiber optic,0.0,192.0,96.0,Yes,No,Electronic check,No,2.0,2
0.0,Yes,Month-to-month,No,Fiber optic,0.0,181.1,90.55,No,No,Electronic check,No,2.0,1
1.0,Yes,Month-to-month,No,DSL,30.35,0.0,30.35,Yes,Yes,Electronic check,Yes,0.0,44
