SeniorCitizenRelevel,Partner,Dependents,tenure,InternetService,Contract,PaperlessBilling,MonthlyCharges,Churn,AdditionalInternetServicesCount,StreamingServicesCount,MC_x_Additional,MC_x_Streaming,PaymentMethod_bin_3
No,No,No,2,DSL,Month-to-month,Yes,46.0,Yes,0,0,0.0,0.0,Automatic
No,No,No,4,Fiber optic,Month-to-month,Yes,70.15,Yes,0,0,0.0,0.0,Electronic check
No,Yes,No,4,DSL,Month-to-month,No,50.05,Yes,1,0,50.05,0.0,Mailed check
No,Yes,No,1,DSL,Month-to-month,No,55.2,Yes,0,1,0.0,55.2,Mailed check
No,No,No,1,Fiber optic,Month-to-month,Yes,84.6,Yes,1,1,84.6,84.6,Mailed check
No,No,No,2,DSL,Month-to-month,Yes,54.4,Yes,1,0,54.4,0.0,Mailed check
Yes,No,No,11,Fiber optic,Month-to-month,Yes,95.0,Yes,1,2,95.0,190.0,Electronic check
Yes,No,No,15,Fiber optic,Month-to-month,Yes,74.4,Yes,1,0,74.4,0.0,Electronic check
No,No,No,1,DSL,Month-to-month,Yes,48.55,Yes,1,0,48.55,0.0,Mailed check
No,Yes,Yes,2,Fiber optic,Month-to-month,No,70.4,Yes,0,0,0.0,0.0,Electronic check
Yes,Yes,No,1,DSL,Month-to-month,No,40.2,Yes,1,1,40.2,40.2,Electronic check
No,Yes,No,2,DSL,Month-to-month,Yes,44.6,Yes,0,0,0.0,0.0,Automatic
Yes,No,No,3,DSL,Month-to-month,Yes,41.15,Yes,1,1,41.15,41.15,Electronic check
Yes,No,No,13,Fiber optic,Month-to-month,Yes,106.9,Yes,2,2,213.8,213.8,Electronic check
No,No,No,59,No,Two year,No,19.35,Yes,0,0,0.0,0.0,Mailed check
Yes,No,No,16,Fiber optic,Month-to-month,Yes,94.45,Yes,1,2,94.45,188.9,Electronic check
No,No,No,1,DSL,Month-to-month,No,24.8,Yes,0,0,0.0,0.0,Automatic
No,No,No,1,Fiber optic,Month-to-month,No,70.6,Yes,0,0,0.0,0.0,Mailed check
No,Yes,No,5,Fiber optic,Month-to-month,Yes,85.4,Yes,2,0,170.8,0.0,Electronic check
No,Yes,No,52,Fiber optic,Month-to-month,Yes,105.05,Yes,2,2,210.1,210.1,Electronic check
No,Yes,Yes,18,Fiber optic,Month-to-month,No,95.15,Yes,1,2,95.15,190.3,Mailed check
No,Yes,No,1,Fiber optic,Month-to-month,No,70.0,Yes,0,0,0.0,0.0,Electronic check
Yes,No,No,8,Fiber optic,Month-to-month,Yes,74.5,Yes,1,0,74.5,0.0,Electronic check
No,No,No,10,DSL,Month-to-month,Yes,44.85,Yes,0,0,0.0,0.0,Automatic
Yes,No,No,24,Fiber optic,Month-to-month,Yes,76.1,Yes,0,0,0.0,0.0,Electronic check
No,No,Yes,1,Fiber optic,Month-to-month,Yes,73.6,Yes,1,0,73.6,0.0,Mailed check
Yes,No,No,4,Fiber optic,Month-to-month,Yes,95.45,Yes,0,2,0.0,190.9,Electronic check
Yes,Yes,No,32,Fiber optic,Month-to-month,Yes,74.9,Yes,0,0,0.0,0.0,Electronic check
No,No,No,5,Fiber optic,Month-to-month,Yes,80.6,Yes,0,1,0.0,80.6,Electronic check
No,Yes,Yes,38,DSL,One year,No,80.3,Yes,3,2,240.89999999999998,160.6,Automatic
Yes,Yes,No,24,Fiber optic,Month-to-month,Yes,93.15,Yes,1,2,93.15,186.3,Electronic check
Yes,No,No,54,DSL,One year,No,82.45,Yes,3,2,247.35000000000002,164.9,Automatic
Yes,No,No,2,Fiber optic,Month-to-month,Yes,70.35,Yes,0,0,0.0,0.0,Electronic check
No,No,No,7,Fiber optic,Month-to-month,Yes,73.85,Yes,0,0,0.0,0.0,Electronic check
No,No,No,2,Fiber optic,Month-to-month,No,80.6,Yes,1,0,80.6,0.0,Mailed check
No,Yes,Yes,68,DSL,One year,Yes,75.8,Yes,3,1,227.39999999999998,75.8,Automatic
No,No,No,43,Fiber optic,Two year,Yes,104.6,Yes,2,2,209.2,209.2,Electronic check
No,Yes,No,63,Fiber optic,Month-to-month,Yes,103.4,Yes,2,2,206.8,206.8,Electronic check
No,No,No,2,Fiber optic,Month-to-month,Yes,90.4,Yes,0,2,0.0,180.8,Electronic check
No,Yes,Yes,4,Fiber optic,Month-to-month,Yes,84.8,Yes,2,0,169.6,0.0,Automatic
Yes,No,No,21,DSL,Month-to-month,Yes,41.9,Yes,1,1,41.9,41.9,Electronic check
No,No,No,10,Fiber optic,Month-to-month,Yes,80.25,Yes,0,1,0.0,80.25,Automatic
Yes,Yes,No,27,DSL,Month-to-month,No,30.75,Yes,1,0,30.75,0.0,Automatic
No,No,No,5,Fiber optic,Month-to-month,No,96.5,Yes,1,2,96.5,193.0,Automatic
No,No,No,2,Fiber optic,Month-to-month,Yes,85.65,Yes,0,1,0.0,85.65,Electronic check
No,Yes,No,25,Fiber optic,Month-to-month,Yes,104.95,Yes,2,2,209.9,209.9,Automatic
No,No,No,1,DSL,Month-to-month,No,50.65,Yes,1,0,50.65,0.0,Mailed check
No,No,No,1,Fiber optic,Month-to-month,Yes,90.85,Yes,1,1,90.85,90.85,Automatic
Yes,Yes,No,11,No,Month-to-month,No,19.95,Yes,0,0,0.0,0.0,Mailed check
Yes,Yes,No,55,Fiber optic,Month-to-month,Yes,85.45,Yes,2,0,170.9,0.0,Electronic check
No,No,No,34,Fiber optic,Month-to-month,Yes,73.95,Yes,1,0,73.95,0.0,Automatic
No,Yes,Yes,69,Fiber optic,Month-to-month,Yes,99.45,Yes,1,2,99.45,198.9,Automatic
No,No,No,1,No,Month-to-month,Yes,19.9,Yes,0,0,0.0,0.0,Mailed check
No,No,No,1,No,Month-to-month,Yes,19.6,Yes,0,0,0.0,0.0,Mailed check
Yes,No,No,3,Fiber optic,Month-to-month,Yes,81.35,Yes,1,0,81.35,0.0,Electronic check
No,Yes,Yes,22,Fiber optic,Month-to-month,No,83.3,Yes,1,1,83.3,83.3,Electronic check
Yes,No,No,1,Fiber optic,Month-to-month,Yes,75.3,Yes,1,0,75.3,0.0,Automatic
No,Yes,Yes,61,No,Month-to-month,Yes,19.4,Yes,0,0,0.0,0.0,Mailed check
No,No,No,12,DSL,Month-to-month,Yes,45.4,Yes,0,0,0.0,0.0,Automatic
No,No,No,60,Fiber optic,Month-to-month,Yes,105.9,Yes,2,2,211.8,211.8,Electronic check
No,No,No,1,Fiber optic,Month-to-month,No,69.55,Yes,0,0,0.0,0.0,Mailed check
No,Yes,Yes,28,Fiber optic,Month-to-month,Yes,81.05,Yes,0,1,0.0,81.05,Electronic check
No,Yes,Yes,4,Fiber optic,Month-to-month,No,101.15,Yes,1,2,101.15,202.3,Electronic check
No,No,No,7,Fiber optic,Month-to-month,Yes,99.8,Yes,1,2,99.8,199.6,Electronic check
No,Yes,Yes,13,DSL,Month-to-month,No,55.95,Yes,0,1,0.0,55.95,Electronic check
No,No,No,1,DSL,Month-to-month,Yes,55.0,Yes,0,1,0.0,55.0,Electronic check
No,Yes,Yes,1,Fiber optic,Month-to-month,Yes,74.7,Yes,1,0,74.7,0.0,Electronic check
No,No,No,24,Fiber optic,Month-to-month,Yes,80.25,Yes,1,0,80.25,0.0,Electronic check
No,No,No,5,Fiber optic,Month-to-month,Yes,96.1,Yes,1,2,96.1,192.2,Electronic check
No,No,Yes,15,Fiber optic,Month-to-month,No,69.0,Yes,0,0,0.0,0.0,Automatic
No,Yes,No,48,DSL,Month-to-month,Yes,45.3,Yes,2,1,90.6,45.3,Automatic
No,Yes,Yes,8,Fiber optic,Month-to-month,Yes,83.55,Yes,1,1,83.55,83.55,Electronic check
No,No,Yes,1,Fiber optic,Month-to-month,Yes,74.35,Yes,0,0,0.0,0.0,Electronic check
No,Yes,No,2,Fiber optic,Month-to-month,Yes,74.4,Yes,1,0,74.4,0.0,Electronic check
No,No,No,22,DSL,One year,Yes,43.75,Yes,2,1,87.5,43.75,Automatic
Yes,No,No,5,DSL,Month-to-month,No,28.45,Yes,1,0,28.45,0.0,Electronic check
No,No,No,12,Fiber optic,Month-to-month,Yes,99.7,Yes,3,1,299.1,99.7,Automatic
Yes,No,No,20,Fiber optic,Month-to-month,Yes,94.1,Yes,2,1,188.2,94.1,Electronic check
No,Yes,No,2,Fiber optic,Month-to-month,Yes,94.2,Yes,1,2,94.2,188.4,Electronic check
No,Yes,Yes,6,Fiber optic,Month-to-month,Yes,80.5,Yes,1,0,80.5,0.0,Electronic check
Yes,Yes,No,5,Fiber optic,Month-to-month,Yes,74.35,Yes,0,0,0.0,0.0,Electronic check
No,No,No,40,Fiber optic,Month-to-month,No,104.8,Yes,2,2,209.6,209.6,Automatic
Yes,Yes,No,27,Fiber optic,Month-to-month,Yes,75.2,Yes,1,0,75.2,0.0,Automatic
No,No,No,23,Fiber optic,Month-to-month,No,75.6,Yes,0,0,0.0,0.0,Automatic
No,Yes,No,34,Fiber optic,Month-to-month,Yes,100.05,Yes,1,2,100.05,200.1,Electronic check
No,No,No,1,Fiber optic,Month-to-month,Yes,85.0,Yes,0,1,0.0,85.0,Electronic check
No,No,No,10,Fiber optic,Month-to-month,Yes,86.05,Yes,0,1,0.0,86.05,Automatic
No,No,No,13,DSL,Month-to-month,Yes,45.55,Yes,2,1,91.1,45.55,Automatic
No,Yes,Yes,39,Fiber optic,Month-to-month,Yes,86.3,Yes,1,1,86.3,86.3,Mailed check
No,No,No,32,Fiber optic,Month-to-month,Yes,80.35,Yes,1,0,80.35,0.0,Automatic
No,No,No,35,Fiber optic,Month-to-month,Yes,100.25,Yes,1,2,100.25,200.5,Electronic check
No,Yes,No,56,Fiber optic,One year,No,100.3,Yes,1,2,100.3,200.6,Automatic
No,Yes,Yes,12,No,Month-to-month,No,19.0,Yes,0,0,0.0,0.0,Mailed check
No,No,No,1,Fiber optic,Month-to-month,No,75.3,Yes,1,0,75.3,0.0,Mailed check
Yes,No,No,4,Fiber optic,Month-to-month,Yes,89.2,Yes,1,1,89.2,89.2,Electronic check
Yes,No,No,1,Fiber optic,Month-to-month,Yes,85.7,Yes,0,1,0.0,85.7,Electronic check
No,No,No,12,DSL,Month-to-month,Yes,61.65,Yes,3,0,184.95,0.0,Mailed check
Yes,Yes,No,65,Fiber optic,Month-to-month,No,105.25,Yes,2,2,210.5,210.5,Automatic
No,Yes,Yes,9,DSL,Month-to-month,Yes,29.95,Yes,1,0,29.95,0.0,Electronic check
No,Yes,Yes,9,DSL,Month-to-month,No,65.0,Yes,4,0,260.0,0.0,Mailed check
No,No,No,7,No,Month-to-month,No,20.0,Yes,0,0,0.0,0.0,Automatic
Yes,Yes,No,49,Fiber optic,Month-to-month,No,90.05,Yes,1,1,90.05,90.05,Automatic
Yes,Yes,Yes,43,Fiber optic,Month-to-month,Yes,110.75,Yes,3,2,332.25,221.5,Automatic
No,Yes,Yes,65,Fiber optic,Month-to-month,Yes,105.5,Yes,2,2,211.0,211.0,Electronic check
Yes,Yes,Yes,56,Fiber optic,One year,Yes,104.55,Yes,2,2,209.1,209.1,Automatic
No,Yes,No,10,Fiber optic,Month-to-month,Yes,85.25,Yes,0,1,0.0,85.25,Electronic check
No,Yes,Yes,43,DSL,Month-to-month,No,56.15,Yes,0,1,0.0,56.15,Electronic check
No,No,No,1,Fiber optic,Month-to-month,Yes,89.55,Yes,0,2,0.0,179.1,Electronic check
Yes,Yes,No,20,Fiber optic,Month-to-month,Yes,94.55,Yes,0,2,0.0,189.1,Electronic check
No,No,No,1,DSL,Month-to-month,Yes,45.7,Yes,0,0,0.0,0.0,Mailed check
Yes,No,No,2,Fiber optic,Month-to-month,No,89.5,Yes,1,1,89.5,89.5,Electronic check
No,No,No,3,Fiber optic,Month-to-month,Yes,69.55,Yes,0,0,0.0,0.0,Automatic
No,No,No,1,Fiber optic,Month-to-month,Yes,74.6,Yes,1,0,74.6,0.0,Mailed check
Yes,No,No,8,No,Month-to-month,No,19.65,Yes,0,0,0.0,0.0,Electronic check
No,Yes,Yes,2,No,One year,No,19.85,Yes,0,0,0.0,0.0,Mailed check
No,No,No,4,DSL,Month-to-month,Yes,24.25,Yes,0,0,0.0,0.0,Mailed check
No,No,No,2,Fiber optic,Month-to-month,No,69.65,Yes,0,0,0.0,0.0,Electronic check
No,No,No,4,DSL,Month-to-month,No,45.65,Yes,0,0,0.0,0.0,Mailed check
No,No,No,1,Fiber optic,Month-to-month,Yes,75.05,Yes,0,0,0.0,0.0,Mailed check
Yes,No,No,52,DSL,Month-to-month,Yes,49.15,Yes,1,2,49.15,98.3,Electronic check
No,No,No,2,DSL,Month-to-month,Yes,34.7,Yes,0,1,0.0,34.7,Electronic check
No,Yes,Yes,1,Fiber optic,Month-to-month,No,80.0,Yes,0,1,0.0,80.0,Electronic check
Yes,No,No,2,DSL,Month-to-month,Yes,49.25,Yes,1,0,49.25,0.0,Electronic check
No,No,No,3,Fiber optic,Month-to-month,Yes,75.1,Yes,0,0,0.0,0.0,Automatic
No,Yes,Yes,3,DSL,Month-to-month,Yes,50.15,Yes,1,0,50.15,0.0,Electronic check
No,No,No,25,Fiber optic,Month-to-month,Yes,79.85,Yes,2,0,159.7,0.0,Automatic
No,No,No,1,No,Month-to-month,No,19.55,Yes,0,0,0.0,0.0,Mailed check
No,Yes,Yes,4,Fiber optic,Month-to-month,Yes,85.95,Yes,0,1,0.0,85.95,Electronic check
No,No,No,3,DSL,Month-to-month,Yes,45.35,Yes,0,0,0.0,0.0,Electronic check
Yes,Yes,No,33,Fiber optic,Month-to-month,Yes,94.5,Yes,0,2,0.0,189.0,Electronic check
Yes,No,No,30,Fiber optic,Month-to-month,No,91.7,Yes,3,0,275.1,0.0,Automatic
No,No,No,45,Fiber optic,Month-to-month,Yes,87.25,Yes,2,0,174.5,0.0,Electronic check
No,No,No,10,Fiber optic,Month-to-month,No,98.55,Yes,1,2,98.55,197.1,Electronic check
Yes,No,No,20,Fiber optic,Month-to-month,Yes,98.55,Yes,1,2,98.55,197.1,Electronic check
No,No,Yes,15,Fiber optic,Month-to-month,Yes,85.9,Yes,1,1,85.9,85.9,Automatic
No,No,No,22,Fiber optic,Month-to-month,No,89.25,Yes,0,2,0.0,178.5,Electronic check
No,Yes,No,3,Fiber optic,Month-to-month,Yes,70.3,Yes,0,0,0.0,0.0,Electronic check
No,No,No,15,Fiber optic,Month-to-month,Yes,93.35,Yes,0,2,0.0,186.7,Electronic check
No,No,No,1,No,Month-to-month,No,19.9,Yes,0,0,0.0,0.0,Mailed check
No,Yes,No,5,Fiber optic,Month-to-month,Yes,88.9,Yes,2,1,177.8,88.9,Mailed check
No,Yes,No,33,Fiber optic,One year,Yes,95.8,Yes,1,2,95.8,191.6,Electronic check
No,No,No,2,Fiber optic,Month-to-month,Yes,82.0,Yes,1,0,82.0,0.0,Electronic check
No,No,No,2,DSL,Month-to-month,No,45.35,Yes,0,0,0.0,0.0,Electronic check
No,No,No,1,DSL,Month-to-month,Yes,52.2,Yes,1,0,52.2,0.0,Electronic check
Yes,No,No,46,Fiber optic,One year,Yes,110.0,Yes,3,2,330.0,220.0,Electronic check
No,No,No,62,Fiber optic,One year,Yes,96.75,Yes,1,2,96.75,193.5,Electronic check
No,No,No,10,Fiber optic,Month-to-month,Yes,98.5,Yes,1,2,98.5,197.0,Electronic check
No,No,No,6,Fiber optic,Month-to-month,Yes,85.35,Yes,1,1,85.35,85.35,Electronic check
No,Yes,No,40,Fiber optic,Month-to-month,Yes,101.3,Yes,1,2,101.3,202.6,Electronic check
No,No,No,1,Fiber optic,Month-to-month,Yes,69.55,Yes,0,0,0.0,0.0,Electronic check
No,No,No,58,Fiber optic,One year,Yes,103.25,Yes,2,2,206.5,206.5,Automatic
No,No,No,70,Fiber optic,Two year,Yes,104.0,Yes,2,2,208.0,208.0,Automatic
No,No,No,2,Fiber optic,Month-to-month,Yes,86.2,Yes,1,1,86.2,86.2,Mailed check
No,Yes,No,21,Fiber optic,Month-to-month,Yes,111.2,Yes,3,2,333.6,222.4,Electronic check
No,Yes,Yes,16,Fiber optic,Month-to-month,Yes,89.45,Yes,2,1,178.9,89.45,Automatic
Yes,Yes,No,7,Fiber optic,Month-to-month,Yes,95.6,Yes,0,2,0.0,191.2,Automatic
No,Yes,Yes,60,Fiber optic,One year,No,90.95,Yes,2,1,181.9,90.95,Electronic check
No,Yes,No,50,Fiber optic,One year,No,108.55,Yes,3,2,325.65,217.1,Electronic check
Yes,No,No,4,Fiber optic,Month-to-month,Yes,78.85,Yes,0,1,0.0,78.85,Electronic check
No,No,No,1,DSL,Month-to-month,No,44.4,Yes,0,0,0.0,0.0,Mailed check
Yes,No,No,55,Fiber optic,One year,Yes,100.0,Yes,1,2,100.0,200.0,Electronic check
No,Yes,Yes,12,No,One year,No,19.8,Yes,0,0,0.0,0.0,Automatic
No,No,No,1,Fiber optic,Month-to-month,Yes,89.9,Yes,0,2,0.0,179.8,Electronic check
No,No,Yes,62,Fiber optic,One year,Yes,100.15,Yes,1,2,100.15,200.3,Electronic check
No,No,No,1,DSL,Month-to-month,No,50.8,Yes,1,0,50.8,0.0,Electronic check
Yes,Yes,No,20,Fiber optic,Month-to-month,Yes,73.65,Yes,1,0,73.65,0.0,Electronic check
No,No,No,3,Fiber optic,Month-to-month,Yes,95.1,Yes,1,2,95.1,190.2,Electronic check
No,No,No,22,Fiber optic,Month-to-month,Yes,94.65,Yes,0,2,0.0,189.3,Automatic
No,Yes,No,4,Fiber optic,Month-to-month,Yes,80.6,Yes,2,0,161.2,0.0,Mailed check
No,Yes,No,59,Fiber optic,One year,No,85.55,Yes,0,1,0.0,85.55,Electronic check
No,No,No,60,DSL,Month-to-month,Yes,50.8,Yes,1,2,50.8,101.6,Electronic check
No,No,No,15,Fiber optic,Month-to-month,No,105.1,Yes,3,2,315.29999999999995,210.2,Electronic check
No,No,No,10,Fiber optic,Month-to-month,Yes,110.1,Yes,4,2,440.4,220.2,Electronic check
No,No,No,6,Fiber optic,Month-to-month,No,83.9,Yes,1,1,83.9,83.9,Electronic check
No,Yes,Yes,63,Fiber optic,Month-to-month,Yes,100.55,Yes,3,1,301.65,100.55,Electronic check
No,Yes,Yes,50,Fiber optic,Month-to-month,Yes,103.85,Yes,2,2,207.7,207.7,Automatic
No,No,No,1,DSL,Month-to-month,No,24.6,Yes,0,0,0.0,0.0,Electronic check
No,No,No,12,Fiber optic,Month-to-month,Yes,98.9,Yes,2,2,197.8,197.8,Automatic
No,No,No,9,Fiber optic,Month-to-month,No,98.3,Yes,1,2,98.3,196.6,Automatic
No,No,No,17,Fiber optic,Month-to-month,No,93.85,Yes,1,2,93.85,187.7,Electronic check
Yes,No,No,9,Fiber optic,Month-to-month,Yes,100.5,Yes,1,2,100.5,201.0,Electronic check
Yes,No,No,10,Fiber optic,Month-to-month,Yes,72.85,Yes,1,0,72.85,0.0,Electronic check
Yes,Yes,No,1,Fiber optic,Month-to-month,Yes,73.55,Yes,0,0,0.0,0.0,Electronic check
Yes,No,No,3,Fiber optic,Month-to-month,Yes,79.4,Yes,1,0,79.4,0.0,Electronic check
No,No,No,13,Fiber optic,Month-to-month,Yes,81.15,Yes,2,0,162.3,0.0,Electronic check
Yes,No,No,4,Fiber optic,Month-to-month,Yes,84.6,Yes,0,1,0.0,84.6,Electronic check
No,No,No,6,Fiber optic,Month-to-month,Yes,79.05,Yes,1,0,79.05,0.0,Electronic check
No,No,No,3,Fiber optic,Month-to-month,No,74.4,Yes,0,0,0.0,0.0,Automatic
Yes,No,No,35,Fiber optic,Month-to-month,Yes,99.05,Yes,1,2,99.05,198.1,Electronic check
Yes,No,No,2,DSL,Month-to-month,No,44.95,Yes,0,0,0.0,0.0,Mailed check
No,Yes,No,1,DSL,Month-to-month,No,44.7,Yes,0,0,0.0,0.0,Automatic
No,No,No,1,DSL,Month-to-month,Yes,45.7,Yes,0,0,0.0,0.0,Mailed check
Yes,No,No,8,Fiber optic,Month-to-month,No,100.3,Yes,2,2,200.6,200.6,Automatic
No,No,No,7,No,Month-to-month,No,19.25,Yes,0,0,0.0,0.0,Electronic check
No,No,No,2,Fiber optic,Month-to-month,Yes,96.0,Yes,0,2,0.0,192.0,Electronic check
No,No,No,1,Fiber optic,Month-to-month,No,90.55,Yes,0,2,0.0,181.1,Electronic check
Yes,Yes,No,44,DSL,Month-to-month,Yes,30.35,Yes,1,0,30.35,0.0,Electronic check
No,No,No,71,Fiber optic,Two year,Yes,108.05,Yes,3,2,324.15,216.1,Electronic check
No,No,No,1,Fiber optic,Month-to-month,Yes,69.9,Yes,0,0,0.0,0.0,Electronic check
Yes,Yes,No,62,Fiber optic,One year,Yes,103.75,Yes,2,2,207.5,207.5,Electronic check
No,No,No,1,Fiber optic,Month-to-month,Yes,86.6,Yes,0,1,0.0,86.6,Electronic check
Yes,Yes,No,33,Fiber optic,Month-to-month,Yes,80.6,Yes,1,0,80.6,0.0,Automatic
No,No,No,35,Fiber optic,Month-to-month,No,85.3,Yes,2,0,170.6,0.0,Automatic
No,No,No,34,Fiber optic,Month-to-month,Yes,70.0,Yes,0,0,0.0,0.0,Automatic
Yes,No,No,4,Fiber optic,Month-to-month,Yes,94.3,Yes,0,2,0.0,188.6,Electronic check
No,No,No,7,Fiber optic,Month-to-month,Yes,95.35,Yes,1,2,95.35,190.7,Electronic check
Yes,Yes,No,27,Fiber optic,Month-to-month,Yes,75.5,Yes,0,0,0.0,0.0,Electronic check
No,No,No,18,Fiber optic,Month-to-month,Yes,90.1,Yes,1,1,90.1,90.1,Electronic check
No,No,No,2,Fiber optic,Month-to-month,No,68.95,Yes,0,0,0.0,0.0,Electronic check
No,Yes,Yes,32,Fiber optic,Month-to-month,Yes,99.55,Yes,1,2,99.55,199.1,Automatic
No,Yes,Yes,18,DSL,Month-to-month,No,57.45,Yes,1,1,57.45,57.45,Electronic check
No,Yes,Yes,12,DSL,One year,No,53.65,Yes,0,1,0.0,53.65,Automatic
Yes,No,No,8,Fiber optic,Month-to-month,Yes,100.6,Yes,1,2,100.6,201.2,Electronic check
No,Yes,Yes,26,Fiber optic,Month-to-month,Yes,83.75,Yes,0,1,0.0,83.75,Electronic check
Yes,Yes,Yes,3,Fiber optic,Month-to-month,Yes,88.3,Yes,2,1,176.6,88.3,Mailed check
Yes,No,No,8,Fiber optic,Month-to-month,Yes,92.1,Yes,1,2,92.1,184.2,Electronic check
